,Commit ID,Commit Message,Suggested refactorings
48,1963b424,"Refactored FromDataPoints functionality to use SpecificDataPointsSupplier as a normal ParameterSupplier, by allowing ParameterSuppliers to take TestClasses in their constructors.",1.Extract Method2.Introduce Parameter Object3.Replace Conditional with Polymorphism4.Simplify Conditional5.Extract Class6.Rename Method
49,e34bdc9c,Move the generating documentation to a separate profile,"Profile Extraction"" or ""Profile Refactoring/move file"
50,afbeeb31,Fixed style (annotations on a separate line),"Consisten annotation styling(Annotation Formatting"" or ""Annotation Style Refactoring)"
51,5976b1d4,Extract method refactoring on getting filtered methods,extract method
52,74941e1e,Extract test case refactoring for subclass NullSorter Created a separate test case for null sorter applied to methods from the *sub* class. Fixed this test case so that it still works well under (jacoco) coverage.,"Extract Test Method"" or ""Extract Test Case."
53,3791a960,Removed redundant phrase from parameter name,Rename parameter
54,a7c4d033,Extract matchers to separate classes (refactoring),Extract Class.
55,a68b42ca,Replace JUnitMatchers with CoreMatchers,Replace Method with Method Object
56,620ccfdd,Remove unused import,Remove unused import
57,d76010fd,remove unused imports in MethodSorterTest,Remove unused import 
58,834dcd7b,Line up indentation (replace tabs with spaces),"Replace tabs with spaces (Indentation Refactoring"" or ""Whitespace Refactoring.)Replace Tabs with Spaces"
59,fa80b68e,Replace JUnitMatchers with CoreMatchers,remove unused imports
60,f4df6d58,Simplify matcher expression in ParameterSignatureTest,"Simplify Assertion or Matcher express(""Simplification Refactoring"" or ""Expression Simplification Refactoring."")"
61,bd6dc3af,"Reused HasWrongExpectedException instead of own defined class (they were the same) and relocated the changes to a better location in the file which is more inline with the rest of the file. And, of course, removed the superfluous brackets.",1.Reusing an existing class2.Relocating changes to a better location in the file for better organization and consistency3.Removing superfluous brackets for cleaner and more concise code
62,6f8a359d,Cleanup TemporaryFolderUsageTest and add it to AllTests suite,1.method extraction 2.removal of redundant code
63,39545426,fixed issue #289 (removed useless code),removed useless code
64,e857122b,Fix issue 30. Make TestWatcher abstract.,1. extract class 2. pull up method
65,0128bff5,Replace TestRule.applyAll() with RunRules.,1.extract method
66,10389dda,removing redundant asserts,1.Remove Redundant Asserts 
67,d0534dae,Improve handling of TestSuites,1.Method Extraction2.Method Parameter Type Change.3.Method Extraction and Parameterization4.Method Signature Change
68,2de4d6f2,Improve handling of TestSuites.  Closes gh-96,.Method Signature Change2.Method Extraction
69,70adacdc,Improve handling of TestSuites,1.Method Signature Change2.Method Extraction
70,1bbab715,CategoriesMark2 reuse code properly from TestClass,code reuse(Reuse Code Properly from TestClass)-reduce duplication
71,870289f3,Simplify Filter implementation for backward compatibility,Simplify Filtering Logic
72,2f9b53db,Simplify Filter implementations,1.Simplification of Categories class2.Simplification of Filter class
73,ac837502,Reduced some visibility where possible,Encapsulate Method(1.Reducing Method Visibility2)2.Remove TODO Comments3.Removing Unused Imports
74,8435a2a0,Removed useless TODOs,Removing useless comments
75,73e8fa81,Reduced some visibility where possible,Restrict Method Access( Reducing the visibility of certain methods from public to private) 2.Removing Unused Imports 3.Removing Unused Comments
76,c4e7dfe1,Remove unused imports,Remove unused imports
77,5042f695,"By passing TestClass to AllMembersSupplier, we can reuse the annotation parsing already supplied, and improve performance",1.Extract Method 2.Encapsulate Field 3.Introduce Explaining Variable4.Removal of TODO Comment
78,4f405a49,"By passing TestClass to AllMembersSupplier, we can reuse the annotation parsing already supplied, and improve performance",Parameterize Constructor(1.Parameter Type Change2.Code Reuse Optimization)
79,44fabd25,Reorganize ParentRunner and children,1. Extract method
80,8226e3e6,#NAME?,"1.Rename Refactoring3.Move Refactoring -(.Directory Structure Refactoring(Build Configuration Refactoring,File Relocation))"
81,fc7d4be8,Absorb a lot of functionality into ParentRunner,"1.Rename Refactoring3.Move Refactoring -(.Directory Structure Refactoring(Build Configuration Refactoring,File Relocation))"
82,576377b9,#NAME?,"1.Split package,2.Merge/combine class3.Absorption of Deprecated Classes 4.Extract Method"
83,a58514ae,"Allowed more classes to be Anchors, more cleanup still to do",1.method extraction 2.removal of redundant code3.Rename constructor parameters
84,4081076e,Big reorganization of how test methods are run. Now there are a nested set of Links which each handle one aspect of running a method. Custom runners can create their own chain of Links to introduce new behavior. This isn't done--it needs organization like extracting inner classes to top level classes and refinement of visibility.,1.Introduce Nested links 2.extract inner class
85,787ed4e5,Refactored Theory runner to make it easier to extend (See StubbedTheoriesTest for one possible extension),Removed duplicate code
86,35f5f3a7,Reorganize tests,1. Rename class 2.Dependency removal (due to duplication)
87,9a192ede,#NAME?,2.Interface Extraction Refactoring(removed duplication)
88,7a2a3811,Refactor MethodRoadie to remove duplication Remove stale TODO comments in code,Remove unused comment
89,40cc52cf,"Created a separate src folder for sources, and adjusted Eclipse classpath and build file accordingly",1. Move class 2.Rename class
90,ac8987f3,removed some unused methods,Remove unused method
91,395e144b,removed unused parameters/fields as detected by PMD,1.Remove unused parameter 2.Remove unused field
92,039f6e81,"removed unused imports, variables",1. Remove unused import 2. Remove unused variable
